                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.85005,                0.56753,                 1.0073,                0.90232,                 0.8517,                0.91189,                0.67511,                 0.8539,                0.52358,                0.97153,             0.00038375,             0.00038375,             0.00038375
                     37,                0.84887,                0.56467,                 1.0071,                0.90411,                0.85076,                0.91214,                0.67482,                0.85321,                0.52142,                0.97127,               0.000359,               0.000359,               0.000359
                     38,                0.84696,                0.56273,                 1.0056,                0.90164,                0.85408,                0.91338,                0.67519,                0.85217,                0.52027,                0.97017,             0.00033425,             0.00033425,             0.00033425
                     39,                0.84664,                0.56227,                 1.0055,                0.90422,                0.85152,                0.91285,                 0.6752,                0.85224,                0.52094,                 0.9694,              0.0003095,              0.0003095,              0.0003095
                     40,                 0.8421,                0.55746,                 1.0036,                0.90276,                0.85346,                0.91362,                0.67716,                0.85009,                 0.5195,                0.96828,             0.00028475,             0.00028475,             0.00028475
                     41,                0.84496,                0.53967,                 1.0045,                 0.9015,                0.85455,                0.91325,                0.68014,                0.83319,                0.51767,                0.96532,                0.00026,                0.00026,                0.00026
                     42,                0.83671,                   0.53,                0.99965,                0.90242,                0.85398,                0.91403,                0.68157,                0.83109,                0.51592,                0.96427,             0.00023525,             0.00023525,             0.00023525
                     43,                0.83329,                0.52584,                 0.9973,                0.90461,                0.85459,                0.91457,                0.68252,                0.83019,                0.51334,                0.96317,              0.0002105,              0.0002105,              0.0002105
                     44,                0.83336,                0.52494,                0.99793,                0.90383,                 0.8555,                0.91467,                0.68202,                0.83251,                0.51227,                0.96357,             0.00018575,             0.00018575,             0.00018575
                     45,                0.83137,                0.52284,                 0.9962,                0.90511,                0.85569,                0.91587,                0.68378,                0.82847,                0.51026,                0.96242,               0.000161,               0.000161,               0.000161
                     46,                0.82626,                0.51842,                0.99487,                0.90772,                 0.8542,                0.91591,                0.68402,                0.82863,                0.50875,                0.96218,             0.00013625,             0.00013625,             0.00013625
                     47,                0.82365,                0.51559,                0.99362,                0.90579,                0.85522,                0.91583,                0.68374,                0.82931,                0.50729,                0.96215,              0.0001115,              0.0001115,              0.0001115
                     48,                0.82279,                0.51326,                 0.9921,                0.90733,                0.85569,                0.91636,                  0.685,                0.82613,                0.50556,                0.96037,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                0.82107,                0.51155,                0.99255,                0.90572,                0.85763,                0.91665,                0.68496,                0.82685,                0.50556,                0.96107,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                0.81811,                0.50903,                0.99081,                0.90419,                0.85787,                0.91612,                0.68429,                 0.8277,                0.50547,                0.96123,              3.725e-05,              3.725e-05,              3.725e-05
