epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,run
43,0.73571,0.45325,0.98098,0.92344,0.90792,0.95267,0.74343,0.78933,0.43291,0.97381,0.00041596,0.00041596,0.00041596,train20
44,0.72488,0.44631,0.9761,0.92313,0.90603,0.95119,0.74105,0.7937,0.43398,0.97943,0.00041596,0.00041596,0.00041596,train21
45,0.71515,0.44008,0.97192,0.92088,0.90862,0.95144,0.74182,0.79327,0.43451,0.98094,0.00041596,0.00041596,0.00041596,train22
46,0.71016,0.43621,0.96975,0.91948,0.90821,0.94961,0.73892,0.79868,0.43426,0.98455,0.00041596,0.00041596,0.00041596,train23
47,0.70467,0.4329,0.96761,0.91695,0.91021,0.94892,0.73717,0.80175,0.43602,0.98712,0.00041596,0.00041596,0.00041596,train24
48,0.69953,0.42972,0.96539,0.91669,0.90827,0.94754,0.73558,0.80248,0.43711,0.98882,0.00041596,0.00041596,0.00041596,train25
49,0.69656,0.42786,0.96399,0.91662,0.90661,0.94605,0.73246,0.80525,0.43939,0.99115,0.00041596,0.00041596,0.00041596,train26
50,0.68952,0.42387,0.96098,0.91984,0.90218,0.9439,0.73053,0.80938,0.44298,0.99393,0.00041596,0.00041596,0.00041596,train27
51,0.68307,0.41942,0.95833,0.91411,0.90678,0.943,0.72913,0.8093,0.44379,0.99679,0.00041596,0.00041596,0.00041596,train28
52,0.67741,0.41584,0.95589,0.91037,0.90922,0.94151,0.7262,0.81158,0.44626,1.0008,0.00041596,0.00041596,0.00041596,train29
53,0.77779,0.49062,0.99869,0.9205,0.90582,0.95327,0.74309,0.79352,0.44877,0.974,0.00041636,0.00041636,0.00041636,train3
54,0.76989,0.489,0.99878,0.92709,0.90288,0.9539,0.7444,0.79039,0.447,0.97422,0.00042068,0.00042068,0.00042068,train3
55,0.67128,0.41197,0.95323,0.91037,0.9039,0.93975,0.7236,0.81778,0.45099,1.0076,0.00041596,0.00041596,0.00041596,train30
56,0.79606,0.49806,0.9838,0.91536,0.88864,0.93807,0.71899,0.79896,0.45232,0.94636,0.00041596,0.00041596,0.00041596,train31
57,0.79856,0.51069,0.98848,0.91997,0.88899,0.94077,0.72308,0.78847,0.45217,0.94058,0.00078111,0.00078111,0.00078111,train31
58,0.79913,0.51305,0.98821,0.92117,0.88012,0.93721,0.71663,0.80035,0.46336,0.9448,0.0010947,0.0010947,0.0010947,train31
59,0.80244,0.51944,0.98934,0.91167,0.88313,0.93678,0.71378,0.80355,0.46818,0.94783,0.001018,0.001018,0.001018,train31
60,0.79586,0.51405,0.98737,0.919,0.88452,0.94141,0.72346,0.78414,0.45817,0.93972,0.00094062,0.00094062,0.00094062,train31
61,0.79181,0.51018,0.98615,0.91539,0.88552,0.93999,0.72029,0.79628,0.45773,0.94735,0.00086328,0.00086328,0.00086328,train31
62,0.78955,0.47394,0.97455,0.91432,0.88822,0.939,0.72066,0.79141,0.46169,0.94278,0.00078594,0.00078594,0.00078594,train31
63,0.78053,0.46359,0.96935,0.91331,0.88725,0.93826,0.72458,0.78472,0.45234,0.93772,0.00070859,0.00070859,0.00070859,train31
64,0.77273,0.45432,0.96538,0.92167,0.88794,0.94066,0.72474,0.78213,0.44856,0.93629,0.00063125,0.00063125,0.00063125,train31
65,0.76499,0.44717,0.96191,0.92135,0.89411,0.9449,0.73507,0.76375,0.43606,0.93011,0.00055391,0.00055391,0.00055391,train31
66,0.757,0.43937,0.95781,0.92347,0.89389,0.94638,0.73431,0.76704,0.43375,0.93091,0.00047656,0.00047656,0.00047656,train31
67,0.74978,0.4314,0.95377,0.92383,0.89476,0.94604,0.73629,0.76197,0.42998,0.92938,0.00039922,0.00039922,0.00039922,train31
68,0.74098,0.42404,0.94981,0.92123,0.89307,0.9443,0.73418,0.76673,0.43047,0.92993,0.00032188,0.00032188,0.00032188,train31
69,0.73593,0.41625,0.94838,0.92489,0.89805,0.94754,0.73991,0.75736,0.42369,0.92804,0.00024453,0.00024453,0.00024453,train31
70,0.72682,0.40956,0.94455,0.92576,0.89823,0.94854,0.74228,0.7531,0.41846,0.92548,0.00016719,0.00016719,0.00016719,train31
71,0.72089,0.40316,0.94266,0.92524,0.89984,0.94928,0.74383,0.75113,0.41532,0.92443,8.9844e-05,8.9844e-05,8.9844e-05,train31
72,0.75766,0.47213,0.96795,0.92122,0.89675,0.94653,0.735,0.76352,0.4343,0.93247,0.00041596,0.00041596,0.00041596,train32
73,0.75872,0.47793,0.97065,0.92481,0.89334,0.94645,0.73655,0.76866,0.4379,0.93296,0.00078111,0.00078111,0.00078111,train32
74,0.76302,0.48089,0.97139,0.9177,0.88516,0.93917,0.72157,0.78979,0.45626,0.94443,0.0010947,0.0010947,0.0010947,train32
75,0.76955,0.48909,0.97403,0.91656,0.88811,0.94013,0.72174,0.79745,0.45523,0.94821,0.001018,0.001018,0.001018,train32
76,0.76558,0.48533,0.97347,0.91588,0.89,0.9421,0.72658,0.7816,0.44492,0.94055,0.00094062,0.00094062,0.00094062,train32
77,0.76413,0.48286,0.97368,0.91225,0.88801,0.93907,0.72011,0.79477,0.45334,0.94505,0.00086328,0.00086328,0.00086328,train32
78,0.75736,0.44292,0.95769,0.91803,0.8906,0.94225,0.72407,0.79126,0.45631,0.94084,0.00078594,0.00078594,0.00078594,train32
79,0.75082,0.43596,0.95481,0.9189,0.89168,0.94226,0.72905,0.78343,0.44314,0.94001,0.00070859,0.00070859,0.00070859,train32
80,0.74454,0.42838,0.95216,0.92232,0.89306,0.94316,0.72977,0.77309,0.44103,0.93518,0.00063125,0.00063125,0.00063125,train32
81,0.73865,0.42217,0.94903,0.92169,0.89693,0.94613,0.73674,0.76461,0.42922,0.93179,0.00055391,0.00055391,0.00055391,train32
82,0.73137,0.41535,0.94624,0.92578,0.8966,0.94642,0.73842,0.76068,0.42593,0.9311,0.00047656,0.00047656,0.00047656,train32
83,0.7263,0.40898,0.94298,0.92294,0.89862,0.94718,0.73862,0.7625,0.42328,0.93205,0.00039922,0.00039922,0.00039922,train32
84,0.71958,0.40381,0.94053,0.92533,0.89582,0.94589,0.73674,0.76333,0.42262,0.93269,0.00032188,0.00032188,0.00032188,train32
85,0.71627,0.39816,0.93921,0.9244,0.89742,0.94769,0.74041,0.75709,0.41911,0.92996,0.00024453,0.00024453,0.00024453,train32
86,0.70949,0.39332,0.93733,0.92651,0.89927,0.94857,0.74327,0.7521,0.41465,0.92689,0.00016719,0.00016719,0.00016719,train32
87,0.70594,0.38865,0.93544,0.92837,0.89763,0.94877,0.74426,0.75087,0.41324,0.92674,8.9844e-05,8.9844e-05,8.9844e-05,train32
88,0.74343,0.45736,0.96159,0.92002,0.89681,0.94578,0.73619,0.76527,0.43102,0.93262,0.00041596,0.00041596,0.00041596,train33
89,0.74003,0.45894,0.96164,0.91829,0.89645,0.94471,0.73484,0.76923,0.43472,0.93541,0.00080687,0.00080687,0.00080687,train33
90,0.74407,0.46282,0.96331,0.9228,0.88773,0.94081,0.72452,0.7872,0.44812,0.9424,0.001172,0.001172,0.001172,train33
91,0.75346,0.47186,0.96567,0.91943,0.88747,0.94059,0.72158,0.79808,0.45036,0.94527,0.001134,0.001134,0.001134,train33
92,0.75247,0.47196,0.96678,0.91896,0.88838,0.94129,0.72467,0.79024,0.44571,0.94621,0.0010953,0.0010953,0.0010953,train33
93,0.75396,0.47282,0.96814,0.91775,0.88996,0.94291,0.72514,0.78908,0.45055,0.94234,0.0010566,0.0010566,0.0010566,train33
94,0.7679,0.48738,0.97585,0.91721,0.89236,0.94284,0.72653,0.77713,0.44569,0.93708,0.001018,0.001018,0.001018,train33
95,0.76542,0.48668,0.97447,0.91997,0.89281,0.94478,0.72981,0.77806,0.43974,0.9355,0.0009793,0.0009793,0.0009793,train33
96,0.76131,0.48213,0.97237,0.9247,0.88893,0.9446,0.73111,0.77362,0.43795,0.93685,0.00094062,0.00094062,0.00094062,train33
97,0.75863,0.47968,0.97216,0.9201,0.89241,0.94424,0.73142,0.76918,0.43594,0.93487,0.00090195,0.00090195,0.00090195,train33
98,0.75765,0.477,0.97162,0.91849,0.89668,0.94626,0.73547,0.76271,0.4325,0.93195,0.00086328,0.00086328,0.00086328,train33
99,0.75335,0.47436,0.96831,0.92126,0.89876,0.94742,0.73804,0.76269,0.42745,0.93007,0.00082461,0.00082461,0.00082461,train33
100,0.74977,0.47122,0.96818,0.92157,0.89958,0.94672,0.73968,0.75645,0.42337,0.92762,0.00078594,0.00078594,0.00078594,train33
101,0.75016,0.46961,0.96747,0.92607,0.89543,0.9466,0.7376,0.76077,0.42317,0.93535,0.00074727,0.00074727,0.00074727,train33
102,0.74569,0.46623,0.96724,0.92367,0.89599,0.94711,0.73713,0.76283,0.42404,0.93275,0.00070859,0.00070859,0.00070859,train33
103,0.74139,0.46372,0.96394,0.92164,0.89897,0.94766,0.73911,0.75966,0.42041,0.93029,0.00066992,0.00066992,0.00066992,train33
104,0.74072,0.4611,0.96456,0.92387,0.89969,0.95036,0.74311,0.75211,0.4187,0.92549,0.00063125,0.00063125,0.00063125,train33
105,0.73622,0.45743,0.96233,0.92415,0.90071,0.94936,0.74374,0.75042,0.41593,0.92559,0.00059258,0.00059258,0.00059258,train33
106,0.73466,0.45526,0.96164,0.92433,0.90006,0.94949,0.74362,0.75049,0.41497,0.92773,0.00055391,0.00055391,0.00055391,train33
107,0.73178,0.45253,0.9598,0.92647,0.89931,0.94923,0.74433,0.74899,0.41378,0.92773,0.00051523,0.00051523,0.00051523,train33
108,0.72696,0.4489,0.95792,0.92488,0.90243,0.95075,0.74676,0.74374,0.41194,0.92327,0.00047656,0.00047656,0.00047656,train33
109,0.72624,0.44697,0.95713,0.92381,0.90475,0.95114,0.74639,0.74659,0.41038,0.92567,0.00043789,0.00043789,0.00043789,train33
110,0.71699,0.40222,0.93976,0.92494,0.90074,0.95057,0.74568,0.7481,0.41248,0.92586,0.00039922,0.00039922,0.00039922,train33
111,0.71044,0.39544,0.93782,0.92145,0.90727,0.9508,0.74702,0.74587,0.40817,0.92533,0.00036055,0.00036055,0.00036055,train33
112,0.70564,0.39031,0.93484,0.92683,0.9014,0.95173,0.74801,0.74706,0.40662,0.92684,0.00032188,0.00032188,0.00032188,train33
113,0.70091,0.38688,0.93267,0.92402,0.90504,0.9516,0.7487,0.74424,0.40527,0.92503,0.0002832,0.0002832,0.0002832,train33
114,0.69765,0.38358,0.93126,0.92662,0.90408,0.95138,0.749,0.74254,0.40428,0.92388,0.00024453,0.00024453,0.00024453,train33
115,0.69435,0.37922,0.9301,0.92907,0.90347,0.95167,0.74965,0.74382,0.40436,0.92502,0.00020586,0.00020586,0.00020586,train33
116,0.69243,0.37726,0.92943,0.9271,0.90449,0.95201,0.75,0.74217,0.40271,0.92461,0.00016719,0.00016719,0.00016719,train33
117,0.68887,0.37423,0.9269,0.93068,0.9029,0.95187,0.74931,0.74293,0.40209,0.92467,0.00012852,0.00012852,0.00012852,train33
118,0.68531,0.37052,0.9251,0.92963,0.90273,0.95167,0.74989,0.7418,0.40153,0.92501,8.9844e-05,8.9844e-05,8.9844e-05,train33
119,0.68285,0.3683,0.92413,0.93058,0.90194,0.95208,0.75058,0.74167,0.40079,0.92425,5.1172e-05,5.1172e-05,5.1172e-05,train33
120,0.76151,0.48081,0.99334,0.92069,0.90293,0.95156,0.73912,0.79424,0.44992,0.98229,0.00041634,0.00041634,0.00041634,train4
121,0.7567,0.47677,0.99193,0.92544,0.90699,0.95422,0.7461,0.783,0.43892,0.97124,0.00042067,0.00042067,0.00042067,train4
122,0.74596,0.46501,0.98574,0.92218,0.90743,0.95353,0.74296,0.79621,0.44173,0.98021,0.00041636,0.00041636,0.00041636,train5
123,0.74102,0.46141,0.98516,0.92539,0.90848,0.95371,0.74276,0.79946,0.44074,0.97663,0.00042068,0.00042068,0.00042068,train5
124,0.73866,0.45766,0.98256,0.9159,0.90679,0.95105,0.73754,0.80062,0.44454,0.98535,0.00041634,0.00041634,0.00041634,train6
125,0.73227,0.45259,0.9804,0.92298,0.91024,0.95336,0.74365,0.79148,0.43699,0.97666,0.00042067,0.00042067,0.00042067,train6
126,0.72832,0.44771,0.97785,0.92363,0.90578,0.95271,0.74269,0.80137,0.44089,0.98312,0.00041636,0.00041636,0.00041636,train7
127,0.70421,0.42753,0.96679,0.91883,0.90527,0.94921,0.73344,0.82512,0.44663,1.0001,0.00041636,0.00041636,0.00041636,train8
128,0.7286,0.44435,0.97759,0.91705,0.90372,0.94881,0.73312,0.81165,0.45133,0.99423,0.00041634,0.00041634,0.00041634,train9
